	num_hpo_annotation	num_patient	num_disease
Entrez:1756	109	12	3.0
Entrez:64359	109	1	1.0
Entrez:4867	109	2	3.0
Entrez:8085	109	23	1.0
Entrez:60684	108	2	1.0
Entrez:400916	108	1	3.0
Entrez:29110	108	1	2.0
Entrez:7046	108	1	2.0
Entrez:7466	108	1	5.0
Entrez:3239	108	2	5.0
Entrez:2896	107	1	2.0
Entrez:4693	107	3	2.0
Entrez:9742	107	2	2.0
Entrez:23126	107	7	1.0
Entrez:134218	107	1	2.0
Entrez:83990	107	3	2.0
Entrez:80025	107	3	2.0
Entrez:6299	107	4	1.0
Entrez:10555	106	1	1.0
Entrez:3861	105	1	6.0
Entrez:2720	105	6	4.0
Entrez:55650	105	30	1.0
Entrez:1303	105	1	2.0
Entrez:57688	105	1	2.0
Entrez:6559	105	2	1.0
Entrez:84942	105	2	1.0
Entrez:91574	105	1	2.0
Entrez:7840	104	6	1.0
Entrez:10262	104	2	1.0
Entrez:79659	104	13	1.0
Entrez:79577	104	1	3.0
Entrez:54499	103	2	1.0
Entrez:2146	103	3	1.0
Entrez:2645	103	3	4.0
Entrez:10381	102	2	2.0
Entrez:9652	102	1	1.0
Entrez:57679	101	3	3.0
Entrez:7454	101	3	3.0
Entrez:1487	101	2	2.0
Entrez:2121	101	1	2.0
Entrez:132884	101	1	2.0
Entrez:25839	101	2	2.0
Entrez:9373	101	1	1.0
Entrez:23389	100	12	2.0
Entrez:10020	100	2	2.0
Entrez:1291	100	6	2.0
Entrez:285175	100	3	1.0
Entrez:5015	100	1	2.0
Entrez:50964	100	1	3.0
Entrez:3172	99	2	3.0
Entrez:7319	99	1	1.0
Entrez:6103	99	12	4.0
Entrez:80169	99	1	1.0
Entrez:3784	99	10	5.0
Entrez:6473	99	1	3.0
Entrez:3832	99	2	1.0
Entrez:8924	98	1	2.0
Entrez:2189	98	1	1.0
Entrez:7080	98	2	3.0
Entrez:2301	98	2	2.0
Entrez:22930	97	1	1.0
Entrez:55690	97	6	1.0
Entrez:6611	97	2	1.0
Entrez:196528	97	3	1.0
Entrez:4286	97	7	5.0
Entrez:1583	97	1	1.0
Entrez:846	97	1	3.0
Entrez:8642	96	1	2.0
Entrez:6331	96	6	8.0
Entrez:1311	96	1	2.0
Entrez:4869	96	1	1.0
Entrez:8450	96	2	1.0
Entrez:55697	96	1	1.0
Entrez:84168	95	5	2.0
Entrez:2475	95	5	2.0
Entrez:6576	94	2	2.0
Entrez:9997	94	1	2.0
Entrez:6334	94	11	4.0
Entrez:11284	94	3	2.0
Entrez:113179	94	1	1.0
Entrez:79813	94	14	1.0
Entrez:5897	94	1	3.0
Entrez:368	93	113	3.0
Entrez:9939	93	2	1.0
Entrez:7518	93	1	1.0
Entrez:2717	92	3	1.0
Entrez:2022	92	4	1.0
Entrez:80208	92	12	3.0
Entrez:71	92	4	2.0
Entrez:27086	92	9	1.0
Entrez:2245	92	11	1.0
Entrez:6605	92	4	2.0
Entrez:1832	92	6	6.0
Entrez:5977	92	1	1.0
Entrez:5277	92	1	2.0
Entrez:55975	92	3	2.0
Entrez:2271	91	4	2.0
Entrez:779	91	1	3.0
Entrez:7528	91	1	1.0
Entrez:8925	91	1	1.0
Entrez:57231	91	5	1.0
Entrez:4683	91	8	3.0
Entrez:3737	91	1	1.0
Entrez:8241	91	1	1.0
Entrez:867	90	4	2.0
Entrez:79152	90	1	1.0
Entrez:6638	90	5	2.0
Entrez:128989	90	6	1.0
Entrez:526	90	1	2.0
Entrez:10075	89	3	1.0
Entrez:124583	89	1	2.0
Entrez:4436	89	1	3.0
Entrez:51816	89	2	2.0
Entrez:4292	89	3	3.0
Entrez:10084	89	3	1.0
Entrez:51053	89	3	1.0
Entrez:3549	89	1	2.0
Entrez:6597	89	12	2.0
Entrez:25914	89	2	1.0
Entrez:367	88	1	5.0
Entrez:4313	88	1	1.0
Entrez:197131	88	1	1.0
Entrez:8289	88	8	1.0
Entrez:8291	88	10	3.0
Entrez:165	88	1	1.0
Entrez:3630	88	1	4.0
Entrez:1630	88	1	4.0
Entrez:26137	88	2	1.0
Entrez:65109	88	1	1.0
Entrez:6870	87	2	1.0
Entrez:9394	87	1	1.0
Entrez:1103	87	1	1.0
Entrez:1947	87	16	1.0
Entrez:64093	87	1	1.0
Entrez:6664	87	1	1.0
Entrez:403	86	1	2.0
Entrez:55154	86	1	1.0
Entrez:84153	86	1	1.0
Entrez:83636	86	3	2.0
Entrez:1290	86	1	1.0
Entrez:57165	86	2	3.0
Entrez:80232	85	4	1.0
Entrez:201163	85	1	5.0
Entrez:6657	85	2	1.0
Entrez:84720	85	9	1.0
Entrez:3077	84	1	4.0
Entrez:175	84	1	1.0
Entrez:22866	84	1	1.0
Entrez:6928	84	1	3.0
Entrez:1130	84	1	1.0
Entrez:6595	84	17	1.0
Entrez:284058	84	7	1.0
Entrez:6949	83	11	1.0
Entrez:4629	83	2	1.0
Entrez:10847	83	10	1.0
Entrez:392255	83	1	5.0
Entrez:7439	83	1	4.0
Entrez:8195	83	1	2.0
Entrez:23230	83	1	1.0
Entrez:1184	82	2	4.0
Entrez:545	82	1	2.0
Entrez:7355	82	2	1.0
Entrez:2775	82	3	2.0
Entrez:27031	82	1	3.0
