	num_hpo_annotation	num_disease	num_patient
Entrez:80067	63	1.0	1
Entrez:6687	63	1.0	12
Entrez:50937	63	1.0	1
Entrez:11154	62	1.0	2
Entrez:50485	62	1.0	2
Entrez:4036	62	1.0	6
Entrez:55157	62	1.0	4
Entrez:51	62	1.0	1
Entrez:7337	62	1.0	11
Entrez:6772	62	3.0	4
Entrez:55906	61	1.0	2
Entrez:23299	61	2.0	4
Entrez:1593	61	1.0	4
Entrez:9851	61	1.0	1
Entrez:123263	61	2.0	1
Entrez:79228	61	1.0	2
Entrez:4747	60	3.0	3
Entrez:4882	60	3.0	1
Entrez:200205	60	2.0	1
Entrez:118429	60	1.0	4
Entrez:6712	60	2.0	2
Entrez:2561	60	1.0	1
Entrez:2811	60	4.0	3
Entrez:27245	59	1.0	9
Entrez:2257	59	1.0	2
Entrez:51412	59	1.0	3
Entrez:1213	59	1.0	1
Entrez:2290	59	1.0	8
Entrez:5063	59	1.0	3
Entrez:4647	59	3.0	2
Entrez:6121	59	2.0	3
Entrez:22954	59	2.0	1
Entrez:4212	58	1.0	1
Entrez:3785	58	2.0	8
Entrez:950	58	1.0	1
Entrez:92667	58	1.0	1
Entrez:8036	58	1.0	1
Entrez:9990	58	1.0	2
Entrez:4361	58	1.0	1
Entrez:283989	58	3.0	5
Entrez:347733	57	1.0	2
Entrez:4638	57	1.0	2
Entrez:9342	57	1.0	1
Entrez:2201	57	2.0	2
Entrez:2010	57	1.0	1
Entrez:1029	57	3.0	1
Entrez:6660	57	1.0	4
Entrez:8929	57	2.0	2
Entrez:84059	57	2.0	3
Entrez:2773	57	1.0	1
Entrez:25974	57	1.0	1
Entrez:54345	57	2.0	1
Entrez:3033	57	2.0	1
Entrez:1788	57	2.0	6
Entrez:158	56	1.0	1
Entrez:242	56	1.0	2
Entrez:1123	56	1.0	2
Entrez:3040	56	3.0	1
Entrez:37	56	1.0	1
Entrez:4094	56	2.0	1
Entrez:113246	56	1.0	1
Entrez:3679	56	1.0	1
Entrez:7399	56	2.0	15
Entrez:4149	56	1.0	1
Entrez:5296	56	1.0	1
Entrez:57192	55	1.0	1
Entrez:79631	55	1.0	1
Entrez:2624	55	4.0	1
Entrez:5172	55	2.0	3
Entrez:6338	55	3.0	1
Entrez:8120	55	1.0	1
Entrez:72	55	1.0	2
Entrez:23118	55	1.0	1
Entrez:6017	55	3.0	1
Entrez:1674	55	3.0	4
Entrez:4983	55	1.0	5
Entrez:4534	55	1.0	3
Entrez:4644	55	1.0	1
Entrez:23503	55	1.0	2
Entrez:5048	54	1.0	1
Entrez:10056	54	1.0	4
Entrez:7532	54	1.0	1
Entrez:6690	54	2.0	1
Entrez:51062	54	2.0	5
Entrez:80224	54	1.0	1
Entrez:7343	54	1.0	2
Entrez:4633	54	1.0	4
Entrez:4358	54	2.0	1
Entrez:9568	54	2.0	1
Entrez:1678	54	1.0	1
Entrez:23334	54	1.0	4
Entrez:8139	54	1.0	1
Entrez:10978	54	1.0	1
Entrez:26999	54	1.0	2
Entrez:4570	54	1.0	1
Entrez:8831	54	1.0	11
Entrez:84627	54	1.0	1
Entrez:28982	54	1.0	1
Entrez:81570	54	1.0	3
Entrez:10382	54	2.0	3
Entrez:5076	53	2.0	1
Entrez:8506	53	2.0	4
Entrez:5071	53	3.0	3
Entrez:7136	53	1.0	1
Entrez:91949	53	1.0	1
Entrez:23247	53	1.0	1
Entrez:168667	53	1.0	1
Entrez:10274	52	1.0	1
Entrez:686	52	1.0	3
Entrez:4125	52	1.0	1
Entrez:8625	52	1.0	1
Entrez:23233	52	1.0	1
Entrez:2639	52	1.0	5
Entrez:64919	52	2.0	2
Entrez:65992	52	1.0	1
Entrez:6910	52	1.0	4
Entrez:7546	51	1.0	2
Entrez:3054	51	1.0	1
Entrez:81603	51		2
Entrez:1200	51	2.0	8
Entrez:81794	51	1.0	1
Entrez:10371	51	1.0	1
Entrez:65055	51	2.0	2
Entrez:710	51	2.0	1
Entrez:9091	51		1
Entrez:202018	50	1.0	1
Entrez:11005	50	1.0	1
Entrez:2911	50	2.0	1
Entrez:4921	50	1.0	2
Entrez:3988	50	1.0	1
Entrez:2690	50	4.0	2
Entrez:2542	50	2.0	1
Entrez:7276	50	2.0	4
Entrez:6710	50	1.0	2
Entrez:1789	49	1.0	1
Entrez:3745	49	1.0	5
Entrez:79587	49	1.0	1
Entrez:3752	49	2.0	2
Entrez:23534	49	1.0	1
Entrez:2583	49	1.0	1
Entrez:5096	49	1.0	1
Entrez:1741	49	1.0	3
Entrez:1106	49	1.0	2
Entrez:6509	48	1.0	1
Entrez:778	48	3.0	3
Entrez:3145	48	1.0	3
Entrez:51601	48	1.0	1
Entrez:6571	48	1.0	2
Entrez:1001	48	2.0	1
Entrez:11107	48	1.0	1
Entrez:1436	48	2.0	3
Entrez:55823	48	1.0	1
Entrez:8086	48	1.0	2
Entrez:1763	47	2.0	1
Entrez:2798	47	1.0	1
Entrez:1535	47	1.0	2
Entrez:57217	47	1.0	2
Entrez:4709	47	1.0	1
Entrez:7021	47	2.0	1
Entrez:1760	47	1.0	1
Entrez:2492	47	2.0	1
Entrez:2318	47	3.0	3
Entrez:84162	47	1.0	2
Entrez:5551	47	3.0	1
Entrez:253738	46	1.0	4
Entrez:10002	46	2.0	2
Entrez:191	46	1.0	1
Entrez:7552	46	1.0	2
Entrez:11152	46	1.0	6
Entrez:65018	46	1.0	1
Entrez:54872	46	1.0	7
Entrez:10320	46	1.0	2
Entrez:727857	46	2.0	1
Entrez:139411	46	1.0	1
Entrez:55863	46	1.0	1
